City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Phan Thiet,VN,78.44,overcast clouds,10.9333,108.1,Hotel Saigon-PT
308,Pinhao,BR,58.75,broken clouds,-25.6956,-51.6597,Pinhão Park Hotel
309,Lisakovsk,KZ,35.15,overcast clouds,52.5369,62.4936,Gostinitsa Lisakovsk
310,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
311,Gizo,SB,83.53,light rain,-8.103,156.8419,Imagination Island
312,Erzin,TR,62.28,clear sky,36.9559,36.2,Artemis Otel
314,Dingle,PH,79.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
316,Greenville,US,60.96,clear sky,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
317,Shieli,KZ,54.52,scattered clouds,44.1667,66.75,Gostinitsa Aybek Shieli
318,Pacific Grove,US,67.33,clear sky,36.6177,-121.9166,Lovers Point Inn
319,Fairbanks,US,23.02,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
320,Alyangula,AU,87.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
321,Fortuna,US,59.86,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
322,Salmas,IR,52.02,few clouds,38.1973,44.7653,Ata Hotel
323,Hamilton,US,50.76,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
324,Taltal,CL,64.15,few clouds,-25.4,-70.4833,Residencial Karime
325,Sur,OM,83.46,broken clouds,22.5667,59.5289,Sur Plaza Hotel
326,Anadyr,RU,14.5,clear sky,64.75,177.4833,Отке17.ру — жильё для командированных
327,Muros,ES,47.08,clear sky,42.7762,-9.0603,Apartment Av. Castelao
328,Belmonte,BR,76.53,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
329,Pingliang,CN,44.62,clear sky,35.5392,106.6861,North Gate Hostel
330,Basco,PH,74.89,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
331,Novita,CO,75.99,overcast clouds,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
333,Kaitangata,NZ,63.1,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
334,Atar,MR,74.01,clear sky,20.5169,-13.0499,Oumou Elghoura
335,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
336,Quatre Cocos,MU,76.08,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
337,Sheridan,US,64.78,few clouds,44.8333,-106.9173,Comfort Inn & Suites
338,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
339,Imeni Poliny Osipenko,RU,30.13,overcast clouds,52.4201,136.4853,Yubileynaya
340,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
342,Nuqui,CO,78.6,scattered clouds,5.7125,-77.2708,Hotel Nuquimar
343,Khandbari,NP,65.68,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
344,Nome,US,19.47,clear sky,64.5011,-165.4064,Dredge 7 Inn
345,Lima,PE,75.9,few clouds,-12.0432,-77.0282,Hotel Kamana
346,Belgrade,RS,36.34,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
347,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
348,Dinagat,PH,79.57,moderate rain,9.9561,125.5933,Ocean Front Homestay
349,Ribeira Grande,PT,59.99,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
