City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Saldanha,ZA,-33.0117,17.9442,60.85,79,0,12.95,clear sky
257,Carnarvon,AU,-24.8667,113.6333,75.27,88,75,9.22,broken clouds
258,Montepuez,MZ,-13.1256,38.9997,67.93,99,41,2.8,scattered clouds
259,Natal,BR,-5.795,-35.2094,82.62,78,40,11.5,scattered clouds
260,Sfantu Gheorghe,RO,45.8667,25.7833,39.92,86,96,8.99,overcast clouds
261,Naze,JP,28.3667,129.4833,58.12,73,100,15.08,light rain
262,General Roca,AR,-39.0333,-67.5833,72.63,37,65,20.09,light rain
263,Killybegs,IE,54.6333,-8.45,40.48,79,56,3.76,broken clouds
264,Mitu,CO,1.1983,-70.1733,72.41,98,74,2.37,moderate rain
265,Bam,IR,29.106,58.357,68.49,15,0,2.95,clear sky
266,South Lake Tahoe,US,38.9332,-119.9844,61.79,28,0,8.05,clear sky
267,Caravelas,BR,-17.7125,-39.2481,76.24,83,0,4.61,clear sky
268,George,ZA,-33.963,22.4617,58.55,94,100,3.44,overcast clouds
269,Castro,BR,-24.7911,-50.0119,58.84,96,100,9.15,overcast clouds
270,Trincomalee,LK,8.5711,81.2335,79.07,83,99,6.82,overcast clouds
271,Tula,RU,54.2044,37.6111,31.95,97,100,12.37,light snow
272,Semey,KZ,50.4111,80.2275,32.22,93,0,4.47,clear sky
273,Mangrol,IN,21.1167,70.1167,75.99,80,1,8.9,clear sky
274,Plettenberg Bay,ZA,-34.0527,23.3716,59.97,90,63,5.57,light rain
275,Baraki Barak,AF,33.9675,68.9486,49.77,35,0,1.9,clear sky
276,Ternate,ID,0.8,127.4,81.23,76,97,2.59,overcast clouds
277,Koroni,GR,36.8,21.95,53.31,75,31,11.1,scattered clouds
278,Manadhoo,MV,5.7667,73.3833,82.44,71,8,3.89,clear sky
279,Gubkinskiy,RU,64.434,76.5026,6.62,98,93,7.27,overcast clouds
280,Ukiah,US,39.1502,-123.2078,79.43,31,0,9.22,clear sky
281,Najran,SA,17.4924,44.1277,61.45,20,0,1.07,clear sky
282,Krasnyy Profintern,RU,57.7446,40.435,30.22,96,100,16.17,snow
283,Contai,IN,21.7786,87.7536,78.24,91,13,12.59,few clouds
284,Rocha,UY,-34.4833,-54.3333,55.36,88,3,8.05,clear sky
285,Antalaha,MG,-14.9003,50.2788,73.8,89,9,5.14,clear sky
286,Chapais,CA,49.7834,-74.8492,33.58,96,100,3.71,overcast clouds
287,Rojhan,PK,28.6868,69.9534,82.06,6,1,10.02,clear sky
288,Port-Cartier,CA,50.0334,-66.8654,34.02,73,30,18.07,scattered clouds
289,Lompoc,US,34.6391,-120.4579,66.78,80,100,8.05,overcast clouds
290,Smidovich,RU,48.6,133.8167,33.62,90,94,9.6,overcast clouds
291,Kupang,ID,-10.1667,123.5833,79.95,76,43,1.86,scattered clouds
292,Mitsamiouli,KM,-11.3847,43.2844,80.85,75,7,3.89,clear sky
293,Diffa,NE,13.3154,12.6113,84.13,8,66,9.28,broken clouds
294,Otradnoye,RU,59.7775,30.8181,27.03,95,6,2.91,clear sky
295,Ca Mau,VN,9.1769,105.15,74.5,92,97,8.32,overcast clouds
296,Svetlaya,RU,46.5389,138.3297,41.43,61,96,9.78,overcast clouds
297,Olinda,BR,-8.0089,-34.8553,82.13,74,20,6.91,few clouds
298,Pak Phanang,TH,8.3511,100.202,80.62,80,99,17.11,light rain
299,Matagami,CA,49.7502,-77.6328,32.11,69,100,3.44,overcast clouds
300,Iquitos,PE,-3.7481,-73.2472,71.64,94,40,2.3,scattered clouds
301,Teya,RU,60.3778,92.6267,4.1,100,88,4.36,overcast clouds
302,Teocaltiche,MX,21.4333,-102.5833,89.11,8,7,12.46,clear sky
303,Grants Pass,US,42.439,-123.3284,69.55,24,0,3.44,clear sky
304,Torrijos,ES,39.9819,-4.2835,40.06,56,7,8.55,clear sky
305,Apatou,GF,5.155,-54.3472,73.63,99,100,2.33,overcast clouds
306,Khani,GE,41.9563,42.9566,44.17,77,23,9.82,few clouds
